Entity,Code,Year,Mismanaged waste (% global total)
Kuwait,KWT,2010,0.0361
Latvia,LVA,2010,0.0323
Jamaica,JAM,2010,0.0315
Cape Verde,CPV,2010,0.0294
New Zealand,NZL,2010,0.0292
Norway,NOR,2010,0.0264
Canada,CAN,2010,0.025
Saint Lucia,LCA,2010,0.0211
Tonga,TON,2010,0.0208
Guadeloupe,GLP,2010,0.0206
Singapore,SGP,2010,0.0203
Gabon,GAB,2010,0.0191
Equatorial Guinea,GNQ,2010,0.0188
Estonia,EST,2010,0.0188
Palestine,PSE,2010,0.0176
Namibia,NAM,2010,0.0172
Samoa,WSM,2010,0.0161
Sao Tome and Principe,STP,2010,0.016
Finland,FIN,2010,0.0157
Micronesia (country),FSM,2010,0.0151
Oman,OMN,2010,0.0146
Seychelles,SYC,2010,0.0145
Montenegro,MNE,2010,0.0139
Bahrain,BHR,2010,0.0137
Suriname,SUR,2010,0.0124
Belize,BLZ,2010,0.0122
Romania,ROU,2010,0.0113
Barbados,BRB,2010,0.0109
Lithuania,LTU,2010,0.0109
Marshall Islands,MHL,2010,0.01
Kiribati,KIR,2010,0.0096
United Arab Emirates,ARE,2010,0.0095
Belgium,BEL,2010,0.0086
Malta,MLT,2010,0.0082
French Guiana,GUF,2010,0.0074
Grenada,GRD,2010,0.0071
Saint Vincent and the Grenadines,VCT,2010,0.007
Sweden,SWE,2010,0.0068
Cyprus,CYP,2010,0.0057
Denmark,DNK,2010,0.0056
Jordan,JOR,2010,0.0055
Bahamas,BHS,2010,0.0042
French Polynesia,PYF,2010,0.004
Antigua,ATG,2010,0.0039
Reunion,REU,2010,0.0027
Dominica,DMA,2010,0.0025
Martinique,MTQ,2010,0.0024
Qatar,QAT,2010,0.0024
Macao,MAC,2010,0.0022
Palau,PLW,2010,0.0022
Saint Kitts and Nevis,KNA,2010,0.0022
Iceland,ISL,2010,0.0019
Nauru,NRU,2010,0.0017
Slovenia,SVN,2010,0.0017
New Caledonia,NCL,2010,0.0015
Tuvalu,TUV,2010,0.0014
Cook Islands,COK,2010,0.0013
Netherlands Antilles,ANT,2010,0.0013
Aruba,ABW,2010,0.0012
Guam,GUM,2010,0.0012
Channel Islands,OWID_CIS,2010,0.0009
Curacao,CUW,2010,0.0008
Northern Mariana Islands,MNP,2010,0.0007
Bermuda,BMU,2010,0.0004
Brunei,BRN,2010,0.0003
Cayman Islands,CYM,2010,0.0003
Faeroe Islands,FRO,2010,0.0003
Greenland,GRL,2010,0.0003
Guernsey,GGY,2010,0.0003
Saint Helena,SHN,2010,0.0003
Anguilla,AIA,2010,0.0002
British Virgin Islands,VGB,2010,0.0002
Gibraltar,GIB,2010,0.0002
Monaco,MCO,2010,0.0002
Norfolk Island,NFK,2010,0.0002
Sint Maarten (Dutch part),SXM,2010,0.0002
Turks and Caicos Islands,TCA,2010,0.0002
Montserrat,MSR,2010,0.0001
Tokelau,TKL,2010,0.0001
Christmas Island,CXR,2010,0
Cocos Islands,CCK,2010,0
Falkland Islands,FLK,2010,0
Niue,NIU,2010,0
Saint Pierre and Miquelon,SPM,2010,0
